text1,labels
is capable of writing a file to the compromised system from the C2 server.,['T1105']
is controlled via commands that are appended to image files.,['T1001']
"is heavily obfuscated in many ways, including through the use of spaghetti code in its functions in an effort to confuse disassembly programs. It also uses a custom XOR algorithm to obfuscate code.",['T1027']
is known to contain functionality that enables targeting of smart card technologies to proxy authentication for connections to restricted network resources using detected hardware tokens.,['T1111']
is known to use RAR with passwords to encrypt data prior to exfiltration.,['T1486']
is known to utilize encryption within network protocols.,['T1573']
is obfuscated using the obfuscation tool called ConfuserEx.,['T1027']
is obfuscated using the open source ConfuserEx protector.  also obfuscates the name of created files/folders/mutexes and encrypts debug messages written to log files using the Rijndael cipher.,['T1027']
is obfuscated with the off-the-shelf SmartAssembly .NET obfuscator created by red-gate.com.,['T1027']
is used to automate SQL injection.,['T1190']
is used to enumerate and dump information from Microsoft SharePoint.,['T1213']
is used to execute programs and other actions at the command-line interface.,['T1059']
is used to patch an enterprise domain controller authentication process with a backdoor password. It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller.,['T1098']
is usually configured with primary and backup domains for C2 communications.,['T1008']
keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context.,['T1134']
kills and disables services by using cmd.exe.,['T1059']
launches a shell to execute commands on the victim’s machine.,['T1059']
leveraged an open-source tool called SoftPerfect Network Scanner to perform network scanning.,['T1046']
leveraged a watering hole to serve up malicious code.,['T1189']
leveraged several compromised universities as proxies to obscure its origin.,['T1090']
leveraged the tool LaZagne for retrieving login and password information.,['T1003']
leverages cmd.exe to perform discovery techniques.,['T1059']
"leverages legitimate social networking sites and cloud platforms (Twitter, Yandex, and Mediafire) for command and control communications.",['T1102']
"leverages social networking sites and cloud platforms (AOL, Twitter, Yandex, Mediafire, pCloud, Dropbox, and Box) for C2.",['T1102']
leverages valid accounts after gaining credentials for use within the victim domain.,['T1078']
leverages vulnerable versions of Flash to perform execution.,['T1203']
likely obtained a list of hosts in the victim environment.,['T1018']
listed remote shared drives that were accessible from a victim.,['T1135']
lists files in directories.,['T1083']
lists processes running on the system.,['T1057']
lists running processes.,['T1057']
"lists the directories for Desktop, program files, and the user’s recently accessed files.",['T1083']
lists the running processes.,['T1057']
loads malicious shellcode and executes it in memory.,['T1064']
logs key strokes for configured processes and sends them back to the C2 server.,['T1056']
logs the keystrokes on the targeted system.,['T1056']
looks for specific files and file types.,['T1083']
lured victims to double-click on images in the attachments they sent which would then execute the hidden LNK file.,['T1204']
maintains access to victim environments by using  to access  as well as establishing a backup RDP tunnel by using .,['T1108']
makes modifications to open-source scripts from GitHub and executes them on the victim’s machine.,['T1064']
"makes their malware look like Flash Player, Office, or PDF documents in order to entice a user to click on it.",['T1204']
malicious spearphishing payloads use WMI to launch malware and spawn cmd.exe execution.  has also used WMIC during and post compromise cleanup activities.,['T1047']
"malware attempts to connect to Windows shares for lateral movement by using a generated list of usernames, which center around permutations of the username Administrator, and weak passwords.",['T1110']
malware attempts to determine the installed version of .NET by querying the Registry.,['T1012']
malware can deactivate security mechanisms in Microsoft Office by editing several keys and values under HKCU\Software\Microsoft\Office\.,['T1112']
malware can decode contents from a payload that was Base64 encoded and write the contents to a file.,['T1140']
malware can download additional files from C2 servers.,['T1105']
"malware can list a victim's logical drives and the type, as well the total/free space of the fixed devices. Other malware can list a directory's contents.",['T1083']
malware can list running processes.,['T1057']
malware can use a SOAP Web service to communicate with its C2 server.,['T1102']
malware communicates with its C2 server via HTTPS.,['T1071']
malware encrypts C2 traffic using RC4 with a hard-coded key.,['T1573']
malware gathers data from the local victim system.,['T1005']
"malware gathers passwords from multiple sources, including Windows Credential Vault, Internet Explorer, Firefox, Chrome, and Outlook.",['T1003']
malware gathers system information via Windows Management Instrumentation (WMI).,['T1047']
malware gathers the Address Resolution Protocol (ARP) table from the victim.,['T1016']
malware gathers the registered user and primary owner name via WMI.,['T1033']
"malware gathers the victim's local IP address, MAC address, and external IP address.",['T1016']
malware has communicated with C2 servers over port 6667 (for IRC) and port 8080.,['T1043']
malware has communicated with its C2 server over ports 4443 and 3543.,['T1571']
malware has obtained the victim username and sent it to the C2 server.,['T1033']
"malware has used a PowerShell command to check the victim system architecture to determine if it is an x64 machine. Other malware has obtained the OS version, UUID, and computer/host name to send to the C2 server.",['T1082']
"malware has used base64-encoded commands and files, and has also encrypted embedded strings with AES.",['T1027']
malware has used HTTP and IRC for C2.,['T1071']
malware has used HTTP for C2.,['T1071']
"malware IndiaIndia checks Registry keys within HKCU and HKLM to determine if certain applications are present, including SecureCRT, Terminal Services, RealVNC, TightVNC, UltraVNC, Radmin, mRemote, TeamViewer, FileZilla, pcAnyware, and Remote Desktop. Another  malware sample checks for the presence of the following Registry key:HKEY_CURRENT_USER\Software\Bitcoin\Bitcoin-Qt.",['T1012']
"malware IndiaIndia obtains and sends to its C2 server information about the first network interface card’s configuration, including IP address, gateways, subnet mask, DHCP information, and whether WINS is available.",['T1016']
malware IndiaIndia obtains and sends to its C2 server the title of the window for each running process. The KilaAlfa keylogger also reports the title of the window in the foreground.,['T1010']
"malware IndiaIndia saves information gathered about the victim to a file that is compressed with Zlib, encrypted, and uploaded to a C2 server.  malware RomeoDelta archives specified directories in .zip format, encrypts the .zip file, and uploads it to its C2 server.",['T1560']
"malware IndiaIndia saves information gathered about the victim to a file that is compressed with Zlib, encrypted, and uploaded to a C2 server.  malware RomeoDelta archives specified directories in .zip format, encrypts the .zip file, and uploads it to its C2 server. A  malware sample encrypts data using a simple byte based XOR operation prior to exfiltration.",['T1486']
"malware IndiaIndia saves information gathered about the victim to a file that is saved in the %TEMP% directory, then compressed, encrypted, and uploaded to a C2 server.",['T1074']
malware IndiaIndia saves information gathered about the victim to a file that is uploaded to one of its 10 C2 servers. Another  malware sample also performs exfiltration over the C2 channel.,['T1041']
malware ISMAgent falls back to its DNS tunneling mechanism if it is unable to reach the C2 server over HTTP.,['T1008']
"malware names itself ""svchost.exe,"" which is the name of the Windows shared service host program.",['T1036']
"malware RoyalCli and BS2005 have communicated over HTTP with the C2 server through Internet Explorer (IE) by using the COM interface IWebBrowser2. Additionally,  malware RoyalDNS has used DNS for C2.",['T1071']
malware SierraBravo-Two generates an email message via SMTP containing information about newly infected victims.,['T1048']
Malware used by  can run commands on the command-line interface.,['T1059']
Malware used by  is capable of capturing keystrokes.,['T1056']
malware uses Caracachs encryption to encrypt C2 payloads.,['T1573']
malware uses cmd.exe to execute commands on victims.,['T1059']
"malware uses multiple types of encryption and encoding in its malware files, including AES, Caracachs, RC4, basic XOR with constant 0xA7, and other techniques.",['T1027']
malware uses PowerShell and WMI to script data collection and command execution on the victim.,['T1064']
malware WhiskeyDelta-Two contains a function that attempts to rename the administrator’s account.,['T1098']
Many strings in  are obfuscated with a XOR algorithm.,['T1027']
may attempt to connect to systems within a victim's network using net use commands and a predefined list or collection of passwords.,['T1110']
may be used to exfiltrate data separate from the main command and control protocol.,['T1048']
may be used to gather details from the Windows Registry of a local or remote system at the command-line interface.,['T1012']
may be used to interact with and modify the Windows Registry of a local or remote system at the command-line interface.,['T1112']
may collect active network connections by running netstat -an on a victim.,['T1049']
may collect information about running processes.,['T1057']
may collect information about the system by running hostname and systeminfo on a victim.,['T1082']
may collect network configuration data by running ipconfig /all on a victim.,['T1016']
may collect permission group information by running net group /domain or a series of other commands on a victim.,['T1069']
may create a file containing the results of the command cmd.exe /c ipconfig /all.,['T1016']
may create a file containing the results of the command cmd.exe /c net user {Username}.,['T1087']
may create a temporary user on the system named “Lost_{Unique Identifier}.”,['T1136']
may create a temporary user on the system named “Lost_{Unique Identifier}” with the password “pond~!@6”{Unique Identifier}.”,['T1136']
may enumerate user directories on a victim.,['T1083']
may gather a list of running processes by running tasklist /v.,['T1057']
may have used the  malware to move onto air-gapped networks.  targets removable drives to spread to other systems by modifying the drive to use Autorun to execute or by hiding legitimate document files and copying an executable to the folder with the same name as the legitimate document.,['T1091']
"may save itself as a file named msdtc.exe, which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.",['T1036']
may store RC4 encrypted configuration information in the Windows Registry.,['T1112']
may use net group "domain admins" /domain to display accounts in the "domain admins" permissions group and net localgroup "administrators" to list local system administrator group membership.,['T1087']
may use net view /domain to display hostnames of available systems on a network.,['T1018']
may use WMI when collecting information about a victim.,['T1047']
mimics a legitimate Russian program called USB Disk Security.,['T1036']
"mimics the resource version information of legitimate Realtek Semiconductor, Nvidia, or Synaptics modules.",['T1036']
modifies an HKCU Registry key to store a session identifier unique to the compromised system as well as a pre-shared key used for encrypting and decrypting C2 communications.,['T1112']
monitors browsing activity and automatically captures screenshots if a victim browses to a URL matching one of a list of strings.,['T1119']
"monitors USB devices and copies files with certain extensions to
a predefined directory.",['T1119']
"Most of the strings in  are encrypted with an XOR-based algorithm; some strings are also encrypted with 3DES and reversed. API function names are also reversed, presumably to avoid detection in memory.",['T1027']
Most strings in  are encrypted using 3DES and XOR and reversed.,['T1027']
MSGET downloader uses a dead drop resolver to access malicious payloads.,['T1102']
"named its tools to masquerade as Windows or Adobe Reader software, such as by using the file name adobecms.exe and the directory CSIDL_APPDATA\microsoft\security.",['T1036']
network loader encrypts C2 traffic with RSA and RC6.,['T1573']
network traffic can communicate over a raw socket.,['T1095']
"network traffic communicates over common ports like 80, 443, or 1433.",['T1043']
Newer variants of  will encode C2 communications with a custom system.,['T1001']
"New services created by  are made to appear like legitimate Windows services, with names such as ""Windows Management Help Service"", ""Microsoft Support"", and ""Windows Advanced Task Manager"".",['T1036']
obfuscated scripts that were used on victim machines.,['T1027']
"obfuscated several scriptlets and code used on the victim’s machine, including through use of XOR.",['T1027']
obfuscates C2 communication using a 1-byte XOR with the key 0xBE.,['T1573']
obfuscates C2 traffic with variable 4-byte XOR keys.,['T1573']
obfuscates files by splitting strings into smaller sub-strings and including "garbage" strings that are never used. The malware also uses return-oriented programming (ROP) technique and single-byte XOR to obfuscate data.,['T1027']
obfuscates files or information to help evade defensive measures.,['T1027']
obfuscates internal strings and unpacks them at startup.,['T1027']
obfuscates some commands by using statically programmed fragments of strings when starting a DLL. It also uses a one-byte xor against 0x91 to encode configuration data.,['T1027']
obfuscates strings using a custom stream cipher.,['T1027']
obtained OS version and hardware configuration from a victim.,['T1082']
obtains additional code to execute on the victim's machine.,['T1105']
obtains a list of running processes.,['T1057']
obtains a list of running processes on the victim.,['T1057']
obtains a list of running processes through WMI querying and the ps command.,['T1057']
obtains and saves information about victim network interfaces and addresses.,['T1049']
obtains application windows titles and then determines which windows to perform  on.,['T1010']
obtains installer properties from Uninstall Registry Key entries to obtain information about installed applications and how to uninstall certain applications.,['T1083']
obtains the current user's security identifier.,['T1033']
obtains the IP address from the victim’s machine.,['T1016']
obtains the number of removable drives from the victim.,['T1120']
obtains the system time and will only activate if it is greater than a preset date.,['T1124']
obtains the victim's current time.,['T1124']
obtains the victim's operating system version and keyboard layout and sends the information to the C2 server.,['T1082']
obtains the victim computer name and encrypts the information to send over its C2 channel.,['T1082']
obtains the victim IP address.,['T1016']
obtains the victim username.,['T1033']
obtains the victim username and encrypts the information to send over its C2 channel.,['T1033']
obtains Windows logon password details.,['T1003']
"Once a removable media device is inserted back into the first victim,  collects data from it that was exfiltrated from a second victim.",['T1025']
"Once  has access to a network share, it enables the RemoteRegistry service on the target system. It will then connect to the system with RegConnectRegistryW and modify the Registry to disable UAC remote restrictions by setting SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\LocalAccountTokenFilterPolicy to 1.",['T1112']
One variant of  uses a Microsoft OneDrive account to exchange commands and stolen data with its operators.,['T1102']
One variant of  uses HTTP and HTTPS for C2.,['T1071']
One version of  consists of VBScript and PowerShell scripts. The malware also uses batch scripting.,['T1064']
opens a backdoor on TCP ports 6868 and 7777.,['T1571']
opens a remote shell to execute commands on the infected system.,['T1059']
operates over ports 21 and 20.,['T1043']
parses the export tables of system DLLs to locate and call various Windows API functions.,['T1106']
Part of 's operation involved using  modules to copy itself to air-gapped machines and using files written to USB sticks to transfer data and command traffic.,['T1091']
"Password stealer and NTLM stealer modules in  harvest stored credentials from the victim, including credentials used as part of Windows NTLM user authentication.  has also executed  for further victim penetration.",['T1003']
payloads are obfuscated prior to compilation to inhibit analysis and/or reverse engineering.,['T1027']
payloads download additional files from the C2 server.,['T1105']
performed a watering hole attack on forbes.com in 2014 to compromise targets.,['T1189']
performs account discovery using commands such as net localgroup administrators and net group "REDACTED" /domain on specific permissions groups.,['T1087']
performs a reflective DLL injection using a given pid.,['T1055']
performs data exfiltration is accomplished through the following command-line command: from <COMPUTER-NAME> (<Month>-<Day> <Hour>-<Minute>-<Second>).txt.,['T1020']
performs data exfiltration over the control server channel using a custom protocol.,['T1041']
performs desktop video recording and captures screenshots of the desktop and sends it to the C2 server.,['T1113']
performs local network connection discovery using netstat.,['T1049']
performs most of its operations using Windows Script Host (Jscript and VBScript) and runs arbitrary shellcode .,['T1064']
performs multiple process injections to hijack system processes and execute malicious code.,['T1055']
performs operating system information discovery using systeminfo.,['T1082']
performs service discovery using net start commands.,['T1007']
performs the tasklist command to list running processes.,['T1057']
performs thread execution hijacking to inject its orchestrator into a running thread from a remote process.  performs a separate injection of its communication module into an Internet accessible process through which it performs C2.,['T1055']
prompts the user for their credentials.,['T1056']
prompts users for their credentials.,['T1056']
provides access to the system via SSH or any other protocol that uses PAM to authenticate.,['T1071']
"provides access to the Windows Registry, which can be used to gather information.",['T1012']
"provides access using both standard facilities like SSH and additional access using its backdoor Espeon, providing a reverse shell upon receipt of a special packet",['T1059']
provides a reverse shell on the victim.,['T1059']
queries Registry keys in preparation for setting Run keys to achieve persistence.,['T1012']
queries several Registry keys to identify hard disk partitions to overwrite.,['T1012']
queries the Registry for specific keys for potential privilege escalation and proxy information.,['T1012']
queries the Registry to determine the correct Startup path to use for persistence.,['T1012']
ran a reverse shell with Meterpreter.,['T1059']
RAT is able to list processes.,['T1057']
RAT is able to open a command shell.,['T1059']
RAT is able to wipe event logs.,['T1070']
recursively generates a list of files within a directory and sends them back to the control server.,['T1119']
relays traffic between a C2 server and a victim.,['T1090']
removes logs from /var/logs and /Library/logs.,['T1070']
renames one of its .dll files to uxtheme.dll in an apparent attempt to masquerade as a legitimate file.,['T1036']
reports window names along with keylogger information to provide application context.,['T1010']
runs cmd.exe /c and sends the output to its C2.,['T1059']
runs ipconfig /all and collects the domain name.,['T1016']
runs tasklist to obtain running processes.,['T1057']
runs tests to determine the privilege level of the compromised user.,['T1033']
runs the command: net start >> %TEMP%\info.dat on a victim.,['T1007']
runs the command net user on a victim.  also runs tests to determine the privilege level of the compromised user.,['T1087']
runs the ifconfig command to obtain the IP address from the victim’s machine.,['T1016']
runs the net view /domain and net view commands.,['T1018']
runs the net view command,['T1018']
runs the whoami and query user commands.,['T1033']
runs whoami on the victim’s machine.,['T1033']
saves each collected file with the automatically generated format {0:dd-MM-yyyy}.txt .,['T1119']
"saves itself as a file named msdtc.exe, which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.",['T1036']
scans the C-class subnet of the IPs on the victim's interfaces.,['T1018']
scripts save memory dump data into a specific directory on hosts in the victim environment.,['T1074']
searches attached and mounted drives for file extensions and keywords that match a predefined list.,['T1083']
searches for certain Registry keys to be configured before executing the payload.,['T1012']
searches for files created within a certain timeframe and whose file extension matches a predefined list.,['T1083']
searches for files on attached removable drives based on a predefined list of file extensions every five seconds.,['T1025']
searches for files on local drives based on a predefined list of file extensions.,['T1005']
searches for interesting files (either a default or customized set of file extensions) on removable media and copies them to a staging area. The default file types copied would include data copied to the drive by .,['T1025']
searches for interesting files (either a default or customized set of file extensions) on the local system and removable media.,['T1083']
searches for Microsoft Outlook data files with extensions .pst and .ost for collection and exfiltration.,['T1114']
searches for network drives and removable media and duplicates itself onto them.,['T1105']
searches recursively for Outlook personal storage tables (PST) files within user directories and sends them back to the C2 server.,['T1114']
"searches removable storage devices for files with a pre-defined list of file extensions (e.g. * .doc, *.ppt, *.xls, *.docx, *.pptx, *.xlsx). Any matching files are encrypted and written to a local user directory.",['T1119']
searches the local system and gathers data.,['T1005']
"searches the system for all of the following file extensions: .avi, .mov, .mkv, .mpeg, .mpeg4, .mp4, .mp3, .wav, .ogg, .jpeg, .jpg, .png, .bmp, .gif, .tiff, .ico, .xlsx, and .zip",['T1083']
"searches through Outlook files and directories (e.g., inbox, sent, templates, drafts, archives, etc.).",['T1114']
"searches victim drives for files matching certain extensions (“.skr”,“.pkr” or “.key”) or names.",['T1083']
sends an OS version identifier in its beacons.,['T1082']
sends images to users that are embedded with shellcode and obfuscates strings and payloads.,['T1027']
"sends information to its hard-coded C2, including OS version, service pack information, processor speed, system name, and OS install date.",['T1082']
service-based DLL implant traverses the FTP server’s directories looking for files with keyword matches for computer names or certain keywords.,['T1083']
sets a WH_CBT Windows hook to collect information on process creation.,['T1057']
sets a WH_CBT Windows hook to search for and capture files on the victim.,['T1083']
Several  malware families are capable of downloading and executing binaries from its C2 server.,['T1105']
"Several  malware families collect information on the type and version of the victim OS, as well as the victim computer name and CPU information. A Destover-like variant used by  also collects disk space information and sends it to its C2 server.",['T1082']
"Several  malware families encrypt C2 traffic using custom code that uses XOR with an ADD operation and XOR with a SUB operation. Another  malware sample XORs C2 traffic.  malware also uses a unique form of communication encryption known as FakeTLS that mimics TLS but uses a different encryption method, evading SSL man-in-the-middle decryption attacks.",['T1573']
"Several  malware samples use a common function to identify target files by their extension.  malware families can also enumerate files and directories, including a Destover-like variant that lists files and gathers information for all drives.",['T1083']
Several  tools encode data with base64 when posting it to a C2 server.,['T1132']
shellcode decrypts and decompresses its RC4-encrypted payload.,['T1140']
"Some  malware uses a list of ordered port numbers to choose a port for C2 traffic, which includes commonly used ports such as 443, 53, 80, 25, and 8080.",['T1043']
"Some  malware uses a list of ordered port numbers to choose a port for C2 traffic, which includes uncommonly used ports such as 995, 1816, 465, 1521, 3306, and many others.",['T1571']
"Some  malware uses multiple channels for C2, such as RomeoWhiskey-Two, which consists of a RAT channel that parses data in datagram form and a Proxy channel that forms virtual point-to-point sessions.",['T1026']
Some resources in  are encrypted with a simple XOR operation or encoded with Base64.,['T1027']
Some  samples contain a publicly available Web browser password recovery tool.,['T1003']
"Some  samples use a custom encryption method for C2 traffic using AES, base64 encoding, and multiple keys.",['T1573']
Some  samples use AES to encrypt C2 traffic.,['T1573']
Some strings in are obfuscated with XOR x56.,['T1027']
"Some  variants have used South Korea's Daum email service to exfiltrate information, and later variants have posted the data to a web server via an HTTP post command.",['T1071']
Some variants of  use SSL to communicate with C2 servers.,['T1071']
Some  variants use HTTP for C2.,['T1071']
Some  variants use ports 8080 and 8000 for C2.,['T1043']
Some  variants use raw TCP for C2.,['T1095']
Some  variants use SSL to encrypt C2 communications.,['T1573']
Some versions of  have used the hard-coded string “this is the encrypt key” for Blowfish encryption when communicating with a C2. Later versions have hard-coded keys uniquely for each C2 address.,['T1573']
"specifically looks for Domain Admins, Power Users, and the Administrators groups within the domain and locally",['T1069']
splits data into chunks up to 23 bytes and sends the data in DNS queries to its C2 server.,['T1030']
stages command output and collected data in files before exfiltration.,['T1074']
"stages data prior to exfiltration in multi-part archives, often saved in the Recycle Bin.",['T1074']
"steals credentials from compromised hosts. 's credential stealing functionality is believed to be based on the source code of the Pinch credential stealing malware (also known as LdPinch). Credentials targeted by  include ones associated with The Bat!, Yahoo!, Mail.ru, Passport.Net, Google Talk, Netscape Navigator, Mozilla Firefox, Mozilla Thunderbird, Internet Explorer, Microsoft Outlook, WinInet Credential Cache, and Lightweight Directory Access Protocol (LDAP).",['T1003']
steals credentials from its victims.,['T1003']
steals credentials stored in Web browsers by querying the sqlite database and leveraging the Windows Vault mechanism.,['T1003']
steals data stored in the clipboard.,['T1115']
steals files based on an extension list if a USB drive is connected to the system.,['T1025']
"steals files with the following extensions: .docx, .doc, .pptx, .ppt, .xlsx, .xls, .rtf, and .pdf.",['T1005']
steals user files from local hard drives with file extensions that match a predefined list.,['T1005']
steals user files from network shared drives with file extensions and keywords that match a predefined list.,['T1039']
stores configuration values under the Registry key HKCU\Software\Microsoft\[dllname] and modifies Registry keys under HKCR\CLSID\...\InprocServer32with a path to the launcher.,['T1112']
stores information gathered from the endpoint in a file named 1.hwp.,['T1074']
stores output from command execution in a .dat file in the %TEMP% directory.,['T1074']
stores the encoded configuration file in the Registry key HKEY_LOCAL_MACHINE\SYSTEM\CurrentContorlSet\Control\WMI\Security.,['T1112']
supports execution from the command-line.,['T1059']
supports file encryption (AES with the key "lolomycin2017").,['T1027']
"surveys a system upon check-in to discover active local network connections using the netstat -an, net use, net file, and net session commands.",['T1049']
"surveys a system upon check-in to discover files in specific locations on the hard disk %TEMP% directory, the current user's desktop, and in the Program Files directory.",['T1083']
surveys a system upon check-in to discover information in the Windows Registry with the reg query command.,['T1012']
"surveys a system upon check-in to discover network configuration details using the arp -a, nbtstat -n, and net config commands.",['T1016']
surveys a system upon check-in to discover operating system configuration details using the systeminfo and set commands.,['T1082']
surveys a system upon check-in to discover remote systems on a local network using the net view and net view /DOMAIN commands.,['T1018']
surveys a system upon check-in to discover the system time by using the net time command.,['T1124']
takes screenshots of the compromised system's desktop and saves them to C:\system\screenshot.bmp for exfiltration every 60 minutes.,['T1113']
The "tDiscoverer" variant of  establishes a C2 channel by downloading resources from Web services like Twitter and GitHub.  binaries contain an algorithm that generates a different Twitter handle for the malware to check for instructions every day.,['T1102']
The "Uploader" variant of  visits a hard-coded server over HTTP/S to download the images  uses to receive commands.,['T1071']
The  backdoor compresses communications using the standard Zlib compression library.,['T1560']
The  C2 channel uses an 11-byte XOR algorithm to hide data.,['T1573']
The  C2 channel uses HTTP POST requests.,['T1071']
The C2 server response to a beacon sent by a variant of  contains a 36-character GUID value that is used as an encryption key for subsequent network communications. Some variants of  use various XOR operations to encrypt C2 data.,['T1573']
The  command and control protocol's data stream can be encrypted with AES-CBC.,['T1573']
The  component KillDisk is capable of deleting Windows Event Logs.,['T1070']
The  config file is encrypted with RC4.,['T1027']
The discovery modules used with  can collect information on accounts and permissions.,['T1087']
The discovery modules used with  can collect information on network connections.,['T1049']
The discovery modules used with  can collect information on process details.,['T1057']
The  dropper has masqueraded a copy of the infected system's rundll32.exe executable that was moved to the malware's install directory and renamed according to a predefined configuration file.,['T1036']
The  dropper uses a function to obfuscate the name of functions and other parts of the malware.,['T1027']
The  dropper uses Windows Management Instrumentation to extract information about the operating system and whether an anti-virus is active.,['T1047']
The executable version of  has a module to log keystrokes.,['T1056']
"The file name AcroRD32.exe, a legitimate process name for Adobe's Acrobat Reader, was used by  as a name for malware.",['T1036']
The  group has been known to compress data before exfiltration.,['T1560']
"The  group has used other forms of obfuscation, include commingling legitimate traffic with communications traffic so that network streams appear legitimate. Some malware that has been used by  also uses steganography to hide communication in PNG image files.",['T1001']
The  group is known to utilize WMI for lateral movement.,['T1047']
The initial beacon packet for  contains the operating system version and file system of the victim.,['T1082']
The initial beacon packet for  contains the operating system version of the victim.,['T1082']
"The  loader implements itself with the name Security Support Provider, a legitimate Windows function. Various  .exe files mimic legitimate file names used by Microsoft, Symantec, Kaspersky, Hewlett-Packard, and VMWare.  also disguised malicious modules using similar filenames as custom network encryption software on victims.",['T1036']
The  malware communicates through the use of events in Google Calendar.,['T1102']
The  malware communicates to its command server using HTTP with an encrypted payload.,['T1071']
The  malware platform can use ICMP to communicate between infected computers.,['T1095']
The net accounts and net accounts /domain commands with  can be used to obtain password policy information.,['T1201']
The net time command can be used in  to determine the local or remote system time.,['T1124']
The net user username \password and net user username \password \domain commands in  can be used to create a local or domain account respectively.,['T1136']
The OsInfo function in  collects a running process list.,['T1057']
The OsInfo function in  collects the current running username.,['T1033']
The payload of  is encrypted with simple XOR with a rotating key. The  configuration file has been encrypted with RC4 keys.,['T1027']
The  RAT has a keylogger.,['T1056']
The reconnaissance modules used with  can collect information on network configuration.,['T1016']
The Ritsol backdoor trojan used by  can download files onto a compromised host from a remote location.,['T1105']
"To establish persistence,  adds a Registry Run key with a value ""TaskMgr"" in an attempt to masquerade as the legitimate Windows Task Manager.",['T1036']
tools attempt to spoof anti-virus processes as a means of self-defense.,['T1036']
tools contained an application to check performance of USB flash drives.,['T1120']
transferred compressed and encrypted RAR files containing exfiltration through the established backdoor command and control channel during operations.,['T1041']
transfers files from the compromised host via HTTP or HTTPS to a C2 server.,['T1071']
"TRINITY malware used by  identifies payment card track data on the victim and then copies it to a local file in a subdirectory of C:\Windows\. Once the malware collects the data,  actors compressed data and moved it to another staging system before exfiltration.",['T1074']
typically use ping and  to enumerate systems.,['T1018']
uploads and downloads information.,['T1105']
uploads data in 2048-byte chunks.,['T1030']
uploads files and secondary payloads to the victim's machine.,['T1105']
used a cloud-based remote access software called LogMeIn for their attacks.,['T1219']
used a cron job for persistence on Mac devices.,['T1053']
used an HTTP malware variant and a Port 22 malware variant to collect the victim’s username.,['T1033']
used a rootkit to modify typical server functionality.,['T1014']
used a SharePoint enumeration and data dumping tool known as spwebmember.,['T1213']
used a tool called MailSniper to search for files on the desktop and another utility called Sobolsoft to extract attachments from EML files.,['T1083']
used Base64 to encode C2 traffic.,['T1132']
used Base64 to obfuscate commands and the payload.,['T1027']
"used batch scripts to enumerate network information, including information about trusts, zones, and the domain.",['T1016']
used batch scripts to enumerate users in the victim environment.,['T1087']
used cmd.exe to launch commands on the victim’s machine.,['T1059']
used command line for execution.,['T1059']
"used legitimate services like Google Docs, Google Scripts, and Pastebin for C2.",['T1102']
used msxsl.exe to bypass AppLocker and to invoke Jscript code from an XSL file.,['T1220']
"used SMTP as a communication channel in various implants, initially using self-registered Google Mail accounts and later compromised email servers of its victims. Later implants such as  use a blend of HTTP and other legitimate channels, depending on module configuration.",['T1071']
used the Ammyy Admin tool as well as TeamViewer for remote access.,['T1219']
used the PowerShell filenames Office365DCOMCheck.ps1 and SystemDiskClean.ps1.,['T1036']
used  to launch an authentication window for users to enter their credentials.,['T1187']
used  to remove artifacts from victims.,['T1070']
used VBS and JavaScript scripts to help perform tasks on the victim's machine.,['T1064']
used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.,['T1133']
use HTTPS for all command and control communication methods.,['T1071']
uses 's malleable C2 functionality to blend in with network traffic.,['T1095']
uses 443 for C2 communications.,['T1043']
uses a backup communication method with an HTTP beacon.,['T1008']
uses a batch file that modifies Registry keys to launch a DLL into the svchost.exe process.,['T1112']
uses a batch file to kill a security program task and then attempts to remove itself.,['T1064']
uses a batch file to load a DLL into the svchost.exe process.,['T1055']
uses a command-line interface.,['T1059']
uses a command-line interface to interact with systems.,['T1059']
uses a custom binary protocol for C2 communications.,['T1095']
uses a custom binary protocol to beacon back to its C2 server. It has also used XOR for encrypting communications.,['T1095']
uses a custom command and control protocol that communicates over commonly used ports. The C2 protocol is encapsulated in common application layer protocols.,['T1043']
uses a custom crypter leveraging Microsoft’s CryptoAPI to encrypt C2 traffic.,['T1573']
uses a custom DNS tunneling protocol for C2.,['T1095']
"uses a custom encryption algorithm, which consists of XOR and a stream that is similar to the Blum Blum Shub algorithm.",['T1573']
uses a custom encryption algorithm on data sent back to the C2 server over HTTP.,['T1573']
uses a customized XOR algorithm to encrypt C2 communications.,['T1573']
uses a custom TCP protocol for C2.,['T1095']
uses a custom UDP protocol to communicate.,['T1095']
uses AES and a preshared key to decrypt the custom Base64 routine used to encode strings and scripts.,['T1140']
uses AES to encrypt C2 communications.,['T1573']
uses AES to encrypt certain information sent over its C2 channel.,['T1573']
uses AES to encrypt network communication.,['T1573']
uses a keylogger and steals clipboard contents from victims.,['T1056']
uses a keylogger plugin to gather keystrokes.,['T1056']
uses a keylogger to capture keystrokes.,['T1056']
uses a keylogger to capture keystrokes and location of where the user is typing.,['T1056']
